Institution Name,City,State,Postal Code,Website,Average SAT for males,Average SAT for females,Average GPA for males,Average GPA for females,In state tuition,Out state tuition,Average ACT males,Average ACT females,Average number of AP Classes as male,Average number of AP Classes as female,Average number of Extracurriculars
University of Central Missouri,San Diego,California,92145,http://forbes.com/pede/ac/diam.xml?massa=faucibus&tempor=orci&convallis=luctus&nulla=et&neque=ultrices&libero=posuere&convallis=cubilia&eget=curae&eleifend=nulla&luctus=dapibus&ultricies=dolor&eu=vel&nibh=est&quisque=donec&id=odio&justo=justo&sit=sollicitudin&amet=ut&sapien=suscipit&dignissim=a&vestibulum=feugiat&vestibulum=et&ante=eros&ipsum=vestibulum&primis=ac&in=est&faucibus=lacinia&orci=nisi&luctus=venenatis&et=tristique&ultrices=fusce&posuere=congue&cubilia=diam&curae=id&nulla=ornare&dapibus=imperdiet&dolor=sapien&vel=urna&est=pretium&donec=nisl&odio=ut&justo=volutpat,1109,1478,2.57,3.22,31003,36155,36,12,8,20,4
Universidad Ricardo Palma,Los Angeles,California,90030,https://upenn.edu/posuere/nonummy/integer/non/velit/donec.html?nulla=tempus&sed=semper&accumsan=est&felis=quam&ut=pharetra&at=magna&dolor=ac&quis=consequat&odio=metus&consequat=sapien&varius=ut&integer=nunc&ac=vestibulum&leo=ante&pellentesque=ipsum&ultrices=primis&mattis=in&odio=faucibus&donec=orci&vitae=luctus&nisi=et&nam=ultrices&ultrices=posuere&libero=cubilia&non=curae&mattis=mauris&pulvinar=viverra&nulla=diam&pede=vitae&ullamcorper=quam&augue=suspendisse&a=potenti&suscipit=nullam&nulla=porttitor&elit=lacus&ac=at,686,1269,1.32,1.11,28348,68692,12,27,12,6,4
University of Guam,Seattle,Washington,98127,https://phpbb.com/tempus/vel.html?dui=ac&proin=enim&leo=in&odio=tempor&porttitor=turpis&id=nec&consequat=euismod&in=scelerisque&consequat=quam&ut=turpis&nulla=adipiscing&sed=lorem&accumsan=vitae&felis=mattis&ut=nibh&at=ligula&dolor=nec&quis=sem&odio=duis&consequat=aliquam&varius=convallis&integer=nunc&ac=proin&leo=at&pellentesque=turpis&ultrices=a&mattis=pede&odio=posuere&donec=nonummy&vitae=integer&nisi=non&nam=velit&ultrices=donec&libero=diam&non=neque&mattis=vestibulum&pulvinar=eget&nulla=vulputate&pede=ut&ullamcorper=ultrices&augue=vel&a=augue&suscipit=vestibulum&nulla=ante&elit=ipsum&ac=primis&nulla=in&sed=faucibus&vel=orci&enim=luctus&sit=et&amet=ultrices&nunc=posuere&viverra=cubilia&dapibus=curae&nulla=donec&suscipit=pharetra&ligula=magna&in=vestibulum&lacus=aliquet&curabitur=ultrices&at=erat&ipsum=tortor&ac=sollicitudin&tellus=mi&semper=sit&interdum=amet&mauris=lobortis&ullamcorper=sapien&purus=sapien&sit=non&amet=mi&nulla=integer&quisque=ac&arcu=neque,1552,1327,1.81,3.88,43338,39716,26,20,4,3,4
Université Hassan II - Mohammadia,Jamaica,New York,11480,https://samsung.com/eu/nibh/quisque/id/justo/sit/amet.xml?pellentesque=lacinia&at=nisi&nulla=venenatis&suspendisse=tristique&potenti=fusce&cras=congue&in=diam&purus=id&eu=ornare&magna=imperdiet&vulputate=sapien&luctus=urna&cum=pretium&sociis=nisl&natoque=ut&penatibus=volutpat&et=sapien&magnis=arcu&dis=sed&parturient=augue,1428,1419,3.63,3.22,33350,52061,16,24,14,2,13
New England School of Art and Design,San Diego,California,92165,http://hp.com/dui/vel/nisl/duis/ac.xml?luctus=ipsum&tincidunt=primis&nulla=in&mollis=faucibus&molestie=orci&lorem=luctus&quisque=et&ut=ultrices&erat=posuere&curabitur=cubilia&gravida=curae&nisi=duis&at=faucibus&nibh=accumsan&in=odio&hac=curabitur&habitasse=convallis&platea=duis&dictumst=consequat&aliquam=dui&augue=nec&quam=nisi&sollicitudin=volutpat&vitae=eleifend&consectetuer=donec&eget=ut&rutrum=dolor&at=morbi&lorem=vel&integer=lectus&tincidunt=in&ante=quam&vel=fringilla&ipsum=rhoncus&praesent=mauris&blandit=enim&lacinia=leo&erat=rhoncus&vestibulum=sed&sed=vestibulum&magna=sit&at=amet&nunc=cursus&commodo=id&placerat=turpis&praesent=integer&blandit=aliquet&nam=massa&nulla=id&integer=lobortis&pede=convallis&justo=tortor&lacinia=risus&eget=dapibus&tincidunt=augue&eget=vel&tempus=accumsan&vel=tellus&pede=nisi&morbi=eu&porttitor=orci&lorem=mauris&id=lacinia&ligula=sapien,1068,755,3.51,0.61,20344,68124,20,22,8,5,13
Tambov State Technical University,New York City,New York,10184,http://weebly.com/non/mauris.xml?velit=elementum&id=eu&pretium=interdum&iaculis=eu&diam=tincidunt&erat=in&fermentum=leo&justo=maecenas&nec=pulvinar&condimentum=lobortis&neque=est&sapien=phasellus&placerat=sit&ante=amet&nulla=erat&justo=nulla&aliquam=tempus&quis=vivamus&turpis=in&eget=felis&elit=eu&sodales=sapien&scelerisque=cursus&mauris=vestibulum&sit=proin&amet=eu&eros=mi&suspendisse=nulla&accumsan=ac&tortor=enim&quis=in&turpis=tempor&sed=turpis&ante=nec&vivamus=euismod&tortor=scelerisque&duis=quam&mattis=turpis&egestas=adipiscing&metus=lorem&aenean=vitae&fermentum=mattis&donec=nibh&ut=ligula&mauris=nec&eget=sem&massa=duis&tempor=aliquam&convallis=convallis&nulla=nunc,970,931,2.79,1.55,41392,54737,32,24,10,18,10
Beijing University of Aeronautics and Astronautics,Lexington,Kentucky,40505,http://theglobeandmail.com/vel/augue/vestibulum/rutrum.html?nullam=cum&molestie=sociis&nibh=natoque&in=penatibus&lectus=et&pellentesque=magnis&at=dis&nulla=parturient&suspendisse=montes&potenti=nascetur&cras=ridiculus&in=mus&purus=etiam&eu=vel&magna=augue&vulputate=vestibulum&luctus=rutrum&cum=rutrum&sociis=neque&natoque=aenean&penatibus=auctor&et=gravida&magnis=sem&dis=praesent&parturient=id&montes=massa&nascetur=id&ridiculus=nisl&mus=venenatis&vivamus=lacinia&vestibulum=aenean&sagittis=sit&sapien=amet&cum=justo&sociis=morbi&natoque=ut&penatibus=odio&et=cras&magnis=mi&dis=pede&parturient=malesuada&montes=in&nascetur=imperdiet&ridiculus=et&mus=commodo&etiam=vulputate&vel=justo&augue=in&vestibulum=blandit&rutrum=ultrices&rutrum=enim&neque=lorem&aenean=ipsum&auctor=dolor&gravida=sit&sem=amet&praesent=consectetuer&id=adipiscing&massa=elit&id=proin&nisl=interdum&venenatis=mauris&lacinia=non&aenean=ligula&sit=pellentesque&amet=ultrices&justo=phasellus&morbi=id&ut=sapien&odio=in&cras=sapien&mi=iaculis&pede=congue&malesuada=vivamus&in=metus&imperdiet=arcu&et=adipiscing&commodo=molestie&vulputate=hendrerit,741,1348,1.35,1.21,13252,43594,12,10,0,12,9
Université François Rabelais de Tours,Grand Junction,Colorado,81505,http://prlog.org/neque/aenean/auctor.png?praesent=scelerisque&blandit=mauris&lacinia=sit&erat=amet&vestibulum=eros&sed=suspendisse&magna=accumsan&at=tortor&nunc=quis&commodo=turpis&placerat=sed&praesent=ante&blandit=vivamus&nam=tortor&nulla=duis&integer=mattis&pede=egestas&justo=metus&lacinia=aenean&eget=fermentum&tincidunt=donec&eget=ut&tempus=mauris&vel=eget&pede=massa&morbi=tempor&porttitor=convallis&lorem=nulla&id=neque&ligula=libero&suspendisse=convallis&ornare=eget&consequat=eleifend&lectus=luctus&in=ultricies&est=eu&risus=nibh&auctor=quisque&sed=id&tristique=justo&in=sit&tempus=amet&sit=sapien&amet=dignissim&sem=vestibulum&fusce=vestibulum&consequat=ante&nulla=ipsum&nisl=primis&nunc=in&nisl=faucibus&duis=orci&bibendum=luctus&felis=et&sed=ultrices&interdum=posuere&venenatis=cubilia&turpis=curae&enim=nulla&blandit=dapibus&mi=dolor&in=vel&porttitor=est&pede=donec&justo=odio&eu=justo&massa=sollicitudin&donec=ut&dapibus=suscipit&duis=a&at=feugiat&velit=et&eu=eros&est=vestibulum&congue=ac&elementum=est&in=lacinia&hac=nisi&habitasse=venenatis&platea=tristique&dictumst=fusce&morbi=congue&vestibulum=diam&velit=id&id=ornare&pretium=imperdiet&iaculis=sapien&diam=urna&erat=pretium&fermentum=nisl,1040,814,3.69,1.75,43377,34590,36,12,5,0,6
Kolej Universiti Insaniah,El Paso,Texas,88525,https://chronoengine.com/cras.html?lectus=id&suspendisse=lobortis&potenti=convallis&in=tortor&eleifend=risus&quam=dapibus&a=augue&odio=vel&in=accumsan&hac=tellus&habitasse=nisi&platea=eu&dictumst=orci&maecenas=mauris&ut=lacinia&massa=sapien&quis=quis&augue=libero&luctus=nullam&tincidunt=sit&nulla=amet&mollis=turpis&molestie=elementum&lorem=ligula&quisque=vehicula&ut=consequat&erat=morbi&curabitur=a&gravida=ipsum&nisi=integer&at=a&nibh=nibh&in=in&hac=quis&habitasse=justo&platea=maecenas&dictumst=rhoncus&aliquam=aliquam&augue=lacus&quam=morbi&sollicitudin=quis&vitae=tortor&consectetuer=id&eget=nulla&rutrum=ultrices&at=aliquet&lorem=maecenas&integer=leo&tincidunt=odio&ante=condimentum&vel=id&ipsum=luctus&praesent=nec&blandit=molestie&lacinia=sed&erat=justo&vestibulum=pellentesque&sed=viverra&magna=pede&at=ac&nunc=diam&commodo=cras&placerat=pellentesque,1554,1585,3.88,0.56,34233,37600,22,16,14,10,1
Presidency University,Mansfield,Ohio,44905,https://miibeian.gov.cn/dui.html?vitae=vulputate&nisl=ut&aenean=ultrices&lectus=vel&pellentesque=augue&eget=vestibulum&nunc=ante&donec=ipsum&quis=primis&orci=in&eget=faucibus&orci=orci&vehicula=luctus&condimentum=et&curabitur=ultrices&in=posuere&libero=cubilia&ut=curae&massa=donec&volutpat=pharetra&convallis=magna&morbi=vestibulum&odio=aliquet&odio=ultrices&elementum=erat&eu=tortor&interdum=sollicitudin&eu=mi&tincidunt=sit&in=amet,1016,1330,2.96,2.17,18470,32394,32,18,11,12,11
